timestamps,CAN_DataFrame.CAN_DataFrame.BusChannel,CAN_DataFrame.CAN_DataFrame.ID,CAN_DataFrame.CAN_DataFrame.IDE,CAN_DataFrame.CAN_DataFrame.DLC,CAN_DataFrame.CAN_DataFrame.DataLength,CAN_DataFrame.CAN_DataFrame.DataBytes,CAN_DataFrame.CAN_DataFrame.Dir,CAN_DataFrame.CAN_DataFrame.EDL,CAN_DataFrame.CAN_DataFrame.BRS
777.2541,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
777.2586,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
777.2809000000001,1,401604624,1,8,8,[32 16  0  0  0  0  0  0],0,0,0
777.3039,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
777.3086000000001,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
777.33925,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
777.3444000000001,1,2025,0,8,8,[  4  65  12  19  40 170 170 170],0,0,0
777.3486,1,2024,0,8,8,[ 4 65 12 19 34  0  0  0],0,0,0
777.3538000000001,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
777.3586,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
777.4037000000001,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
777.4086000000001,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
777.43925,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
777.44465,1,2025,0,8,8,[  4  65  12  19  20 170 170 170],0,0,0
777.4486,1,2024,0,8,8,[ 4 65 12 19 14  0  0  0],0,0,0
777.45335,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
777.4586,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
777.5037000000001,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
777.5086500000001,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
777.5393,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
777.5449500000001,1,2025,0,8,8,[  4  65  12  18 220 170 170 170],0,0,0
777.5486500000001,1,2024,0,8,8,[  4  65  12  18 220   0   0   0],0,0,0
777.55385,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
777.5586000000001,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
777.60395,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
777.60865,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
777.6393,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
777.6449,1,2025,0,8,8,[  4  65  12  19   0 170 170 170],0,0,0
777.6486000000001,1,2024,0,8,8,[ 4 65 12 19  2  0  0  0],0,0,0
777.65385,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
777.6586000000001,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
777.70375,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
777.7086,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
777.7392500000001,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
777.7441500000001,1,2025,0,8,8,[  4  65  12  19  52 170 170 170],0,0,0
777.74865,1,2024,0,8,8,[ 4 65 12 19 52  0  0  0],0,0,0
777.75435,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
777.7586500000001,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
777.7809000000001,1,401604624,1,8,8,[32 16  0  0  0  0  0  0],0,0,0
777.80385,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
777.80845,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
777.83925,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
777.8447500000001,1,2025,0,8,8,[  4  65  12  19  92 170 170 170],0,0,0
777.8484000000001,1,2024,0,8,8,[ 4 65 12 19 90  0  0  0],0,0,0
777.8536,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
777.8583500000001,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
777.90395,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
777.9085,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
777.93925,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
777.9437,1,2025,0,8,8,[  4  65  12  19  92 170 170 170],0,0,0
777.9484,1,2024,0,8,8,[ 4 65 12 19 90  0  0  0],0,0,0
777.9535500000001,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
777.95835,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
778.0037000000001,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
778.0084,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
778.0393,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
778.04425,1,2025,0,8,8,[  4  65  12  19  60 170 170 170],0,0,0
778.04845,1,2024,0,8,8,[ 4 65 12 19 58  0  0  0],0,0,0
778.0541000000001,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
778.0584,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
778.1037500000001,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
778.1084500000001,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
778.1393,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
778.1444,1,2025,0,8,8,[  4  65  12  19   8 170 170 170],0,0,0
778.1485,1,2024,0,8,8,[ 4 65 12 19  6  0  0  0],0,0,0
778.1538,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
778.1584,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
778.20415,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
778.2084500000001,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
778.2393000000001,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
778.2447000000001,1,2025,0,8,8,[  4  65  12  18 248 170 170 170],0,0,0
778.24855,1,2024,0,8,8,[  4  65  12  18 248   0   0   0],0,0,0
778.2539,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
778.2584,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
778.2809000000001,1,401604624,1,8,8,[32 16  0  0  0  0  0  0],0,0,0
778.3039500000001,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
778.30845,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
778.3393000000001,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
778.3443000000001,1,2025,0,8,8,[  4  65  12  19   4 170 170 170],0,0,0
778.3484500000001,1,2024,0,8,8,[ 4 65 12 19  4  0  0  0],0,0,0
778.3541,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
778.3584500000001,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
778.40385,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
778.40845,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
778.4393500000001,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
778.44455,1,2025,0,8,8,[  4  65  12  19  28 170 170 170],0,0,0
778.4485000000001,1,2024,0,8,8,[ 4 65 12 19 32  0  0  0],0,0,0
778.4538500000001,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
778.4584000000001,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
778.50395,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
778.50845,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
778.53935,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
778.5440500000001,1,2025,0,8,8,[  4  65  12  19  56 170 170 170],0,0,0
778.54845,1,2024,0,8,8,[ 4 65 12 19 62  0  0  0],0,0,0
778.5536500000001,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
778.5584,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
778.6037500000001,1,2025,0,8,8,[  3  65  13  50 170 170 170 170],0,0,0
778.6084500000001,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
